from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5785640;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5785641;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5785642;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5785643;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5787544;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5787545;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5787546;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5787547;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5787548;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5787549;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5787550;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5789447;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5789448;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5789449;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5789450;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5789451;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5789452;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5789453;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5789454;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5789455;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5789456;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5791353;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5791354;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5791355;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5791356;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5791357;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5791358;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5791359;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5791360;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5791361;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5791362;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5791363;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5793258;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5793259;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5793260;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5793261;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5793262;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5793263;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5793264;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
